date,year,month,month_name,quarter,product_name,category,region,units_sold,unit_price_inr,revenue_inr,stock_start,stock_end,stockout_flag,lag_1_units,lag_3_units,rolling_avg_3,units_sold_clean,month_sin,month_cos,is_q4,is_winter,is_diwali_month,year_index
2022-01-01,2022,1,January,Q1,Alprazone-0.25,Anxiolytic,Central,124,2.9,359.6,127,118,0,115.0,115.0,117.5,124.0,0.49999999999999994,0.8660254037844387,0,1,0,0
2022-02-01,2022,2,February,Q1,Alprazone-0.25,Anxiolytic,Central,116,2.9,336.4,139,141,0,124.0,115.0,117.5,116.0,0.8660254037844386,0.5000000000000001,0,1,0,0
2022-03-01,2022,3,March,Q1,Alprazone-0.25,Anxiolytic,Central,118,2.9,342.2,105,93,0,116.0,115.0,119.3,118.0,1.0,6.123233995736766e-17,0,0,0,0
2022-04-01,2022,4,April,Q2,Alprazone-0.25,Anxiolytic,Central,121,2.9,350.9,166,163,0,118.0,124.0,118.3,121.0,0.8660254037844387,-0.4999999999999998,0,0,0,0
2022-05-01,2022,5,May,Q2,Alprazone-0.25,Anxiolytic,Central,113,2.9,327.7,108,118,0,121.0,116.0,117.3,113.0,0.49999999999999994,-0.8660254037844387,0,0,0,0
2022-06-01,2022,6,June,Q2,Alprazone-0.25,Anxiolytic,Central,127,2.9,368.3,131,119,0,113.0,118.0,120.3,127.0,1.2246467991473532e-16,-1.0,0,0,0,0
2022-07-01,2022,7,July,Q3,Alprazone-0.25,Anxiolytic,Central,111,2.9,321.9,151,143,0,127.0,121.0,117.0,111.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0
2022-08-01,2022,8,August,Q3,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,130,138,0,111.0,113.0,117.3,114.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0
2022-09-01,2022,9,September,Q3,Alprazone-0.25,Anxiolytic,Central,106,2.9,307.4,124,133,0,114.0,127.0,110.3,106.0,-1.0,-1.8369701987210297e-16,0,0,0,0
2022-10-01,2022,10,October,Q4,Alprazone-0.25,Anxiolytic,Central,101,2.9,292.9,81,91,0,106.0,111.0,107.0,101.0,-0.8660254037844386,0.5000000000000001,1,0,1,0
2022-11-01,2022,11,November,Q4,Alprazone-0.25,Anxiolytic,Central,115,2.9,333.5,98,97,0,101.0,114.0,107.3,115.0,-0.5000000000000004,0.8660254037844384,1,1,0,0
2022-12-01,2022,12,December,Q4,Alprazone-0.25,Anxiolytic,Central,119,2.9,345.1,151,155,0,115.0,106.0,111.7,119.0,-2.4492935982947064e-16,1.0,1,1,0,0
2023-01-01,2023,1,January,Q1,Alprazone-0.25,Anxiolytic,Central,121,2.9,350.9,122,125,0,119.0,101.0,118.3,121.0,0.49999999999999994,0.8660254037844387,0,1,0,1
2023-02-01,2023,2,February,Q1,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,128,128,0,121.0,115.0,118.0,114.0,0.8660254037844386,0.5000000000000001,0,1,0,1
2023-03-01,2023,3,March,Q1,Alprazone-0.25,Anxiolytic,Central,121,2.9,350.9,157,144,0,114.0,119.0,118.7,121.0,1.0,6.123233995736766e-17,0,0,0,1
2023-04-01,2023,4,April,Q2,Alprazone-0.25,Anxiolytic,Central,125,2.9,362.5,128,139,0,121.0,121.0,120.0,125.0,0.8660254037844387,-0.4999999999999998,0,0,0,1
2023-05-01,2023,5,May,Q2,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,144,147,0,125.0,114.0,120.0,114.0,0.49999999999999994,-0.8660254037844387,0,0,0,1
2023-06-01,2023,6,June,Q2,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,147,154,0,114.0,121.0,117.7,114.0,1.2246467991473532e-16,-1.0,0,0,0,1
2023-07-01,2023,7,July,Q3,Alprazone-0.25,Anxiolytic,Central,100,2.9,290.0,122,115,0,114.0,125.0,109.3,100.0,-0.4999999999999997,-0.8660254037844388,0,0,0,1
2023-08-01,2023,8,August,Q3,Alprazone-0.25,Anxiolytic,Central,99,2.9,287.1,110,111,0,100.0,114.0,104.3,99.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1
2023-09-01,2023,9,September,Q3,Alprazone-0.25,Anxiolytic,Central,112,2.9,324.8,97,91,0,99.0,114.0,103.7,112.0,-1.0,-1.8369701987210297e-16,0,0,0,1
2023-10-01,2023,10,October,Q4,Alprazone-0.25,Anxiolytic,Central,99,2.9,287.1,132,137,0,112.0,100.0,103.3,99.0,-0.8660254037844386,0.5000000000000001,1,0,1,1
2023-11-01,2023,11,November,Q4,Alprazone-0.25,Anxiolytic,Central,118,2.9,342.2,162,151,0,99.0,99.0,109.7,118.0,-0.5000000000000004,0.8660254037844384,1,1,0,1
2023-12-01,2023,12,December,Q4,Alprazone-0.25,Anxiolytic,Central,134,2.9,388.6,128,123,0,118.0,112.0,117.0,134.0,-2.4492935982947064e-16,1.0,1,1,0,1
2024-01-01,2024,1,January,Q1,Alprazone-0.25,Anxiolytic,Central,146,2.9,423.4,123,116,0,134.0,99.0,132.7,146.0,0.49999999999999994,0.8660254037844387,0,1,0,2
2024-02-01,2024,2,February,Q1,Alprazone-0.25,Anxiolytic,Central,135,2.9,391.5,185,198,0,146.0,118.0,138.3,135.0,0.8660254037844386,0.5000000000000001,0,1,0,2
2024-03-01,2024,3,March,Q1,Alprazone-0.25,Anxiolytic,Central,138,2.9,400.2,165,155,0,135.0,134.0,139.7,138.0,1.0,6.123233995736766e-17,0,0,0,2
2024-04-01,2024,4,April,Q2,Alprazone-0.25,Anxiolytic,Central,136,2.9,394.4,168,156,0,138.0,146.0,136.3,136.0,0.8660254037844387,-0.4999999999999998,0,0,0,2
2024-05-01,2024,5,May,Q2,Alprazone-0.25,Anxiolytic,Central,140,2.9,406.0,189,201,0,136.0,135.0,138.0,140.0,0.49999999999999994,-0.8660254037844387,0,0,0,2
2024-06-01,2024,6,June,Q2,Alprazone-0.25,Anxiolytic,Central,112,2.9,324.8,92,84,0,140.0,138.0,129.3,112.0,1.2246467991473532e-16,-1.0,0,0,0,2
2024-07-01,2024,7,July,Q3,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,144,143,0,112.0,136.0,122.0,114.0,-0.4999999999999997,-0.8660254037844388,0,0,0,2
2024-08-01,2024,8,August,Q3,Alprazone-0.25,Anxiolytic,Central,114,2.9,330.6,113,117,0,114.0,140.0,113.3,114.0,-0.8660254037844385,-0.5000000000000004,0,0,0,2
2024-09-01,2024,9,September,Q3,Alprazone-0.25,Anxiolytic,Central,105,2.9,304.5,145,139,0,114.0,112.0,111.0,105.0,-1.0,-1.8369701987210297e-16,0,0,0,2
2024-10-01,2024,10,October,Q4,Alprazone-0.25,Anxiolytic,Central,95,2.9,275.5,97,104,0,105.0,114.0,104.7,95.0,-0.8660254037844386,0.5000000000000001,1,0,1,2
2024-11-01,2024,11,November,Q4,Alprazone-0.25,Anxiolytic,Central,130,2.9,377.0,127,132,0,95.0,114.0,110.0,130.0,-0.5000000000000004,0.8660254037844384,1,1,0,2
2024-12-01,2024,12,December,Q4,Alprazone-0.25,Anxiolytic,Central,147,2.9,426.3,181,191,0,130.0,105.0,124.0,147.0,-2.4492935982947064e-16,1.0,1,1,0,2
2022-01-01,2022,1,January,Q1,Alprazone-0.25,Anxiolytic,East,204,2.9,591.6,202,205,0,209.0,210.0,210.7,204.0,0.49999999999999994,0.8660254037844387,0,1,0,0
2022-02-01,2022,2,February,Q1,Alprazone-0.25,Anxiolytic,East,225,2.9,652.5,267,273,0,204.0,210.0,210.7,225.0,0.8660254037844386,0.5000000000000001,0,1,0,0
2022-03-01,2022,3,March,Q1,Alprazone-0.25,Anxiolytic,East,206,2.9,597.4,227,246,0,225.0,210.0,211.7,206.0,1.0,6.123233995736766e-17,0,0,0,0
2022-04-01,2022,4,April,Q2,Alprazone-0.25,Anxiolytic,East,207,2.9,600.3,204,220,0,206.0,204.0,212.7,207.0,0.8660254037844387,-0.4999999999999998,0,0,0,0
2022-05-01,2022,5,May,Q2,Alprazone-0.25,Anxiolytic,East,216,2.9,626.4,229,220,0,207.0,225.0,209.7,216.0,0.49999999999999994,-0.8660254037844387,0,0,0,0
2022-06-01,2022,6,June,Q2,Alprazone-0.25,Anxiolytic,East,202,2.9,585.8,220,216,0,216.0,206.0,208.3,202.0,1.2246467991473532e-16,-1.0,0,0,0,0
2022-07-01,2022,7,July,Q3,Alprazone-0.25,Anxiolytic,East,207,2.9,600.3,181,193,0,202.0,207.0,208.3,207.0,-0.4999999999999997,-0.8660254037844388,0,0,0,0
2022-08-01,2022,8,August,Q3,Alprazone-0.25,Anxiolytic,East,184,2.9,533.6,178,167,0,207.0,216.0,197.7,184.0,-0.8660254037844385,-0.5000000000000004,0,0,0,0
2022-09-01,2022,9,September,Q3,Alprazone-0.25,Anxiolytic,East,179,2.9,519.1,234,231,0,184.0,202.0,190.0,179.0,-1.0,-1.8369701987210297e-16,0,0,0,0
2022-10-01,2022,10,October,Q4,Alprazone-0.25,Anxiolytic,East,182,2.9,527.8,178,172,0,179.0,207.0,181.7,182.0,-0.8660254037844386,0.5000000000000001,1,0,1,0
2022-11-01,2022,11,November,Q4,Alprazone-0.25,Anxiolytic,East,191,2.9,553.9,239,249,0,182.0,184.0,184.0,191.0,-0.5000000000000004,0.8660254037844384,1,1,0,0
2022-12-01,2022,12,December,Q4,Alprazone-0.25,Anxiolytic,East,207,2.9,600.3,265,283,0,191.0,179.0,193.3,207.0,-2.4492935982947064e-16,1.0,1,1,0,0
